Date,Open,High,Low,Close,Volume,Name
1/3/06,77.76,79.35,77.24,79.11,3117200,MMM
1/3/06,51.7,52.58,51.05,52.58,7825700,AXP
1/3/06,10.34,10.68,10.32,10.68,201853036,AAPL
1/3/06,70.4,70.6,69.33,70.44,4943100,BA
1/3/06,57.87,58.11,57.05,57.8,3697500,CAT
1/3/06,57.25,59.1,57.06,59.08,13296500,CVX
1/3/06,17.21,17.49,17.18,17.45,55432166,CSCO
1/3/06,20.4,20.5,20.18,20.45,13640800,KO
1/3/06,24.08,24.48,24,24.4,9657400,DIS
1/3/06,56.42,58.47,56.42,58.47,23873200,XOM
1/3/06,35.1,35.4,34.8,35.37,33221400,GE
1/3/06,126.7,129.44,124.23,128.87,6188700,GS
1/3/06,40.39,41.45,39.77,41.24,8960100,HD
1/3/06,82.45,82.55,80.81,82.06,11715200,IBM
1/3/06,25.19,25.64,24.9,25.57,56409085,INTC
1/3/06,61.07,61.85,61.05,61.63,10703200,JNJ
1/3/06,39.83,40.36,39.3,40.19,12839400,JPM
1/3/06,34.29,34.29,33.2,33.52,9250100,MCD
1/3/06,32.52,32.87,31.81,32.75,11430600,MRK
1/3/06,26.25,27,26.1,26.84,79974418,MSFT
1/3/06,10.85,10.92,10.67,10.74,18468800,NKE
1/3/06,23.65,23.92,23.6,23.78,38052400,PFE
1/3/06,58.3,58.86,57.69,58.78,9741600,PG
1/3/06,44.85,46,44.52,45.99,3843800,TRV
1/3/06,56.45,56.66,55.46,56.53,3716500,UTX
1/3/06,62.6,62.6,60.6,61.73,8070600,UNH
1/3/06,30.2,30.47,30.04,30.38,12903800,VZ
1/3/06,46.36,46.66,45.57,46.23,23413900,WMT
1/3/06,211.47,218.05,209.32,217.83,13137450,GOOGL
